# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 23716.605737
0.100000; 2371.660574; 34331.435297
0.200000; 5804.804103; 30786.471460
0.300000; 8883.451249; 29993.618035
0.400000; 11882.813053; 28190.554651
0.500000; 14701.868518; 26523.924214
0.600000; 17354.260940; 25624.239385
0.700000; 19916.684878; 24524.501246
0.800000; 22369.135003; 22841.181685
0.900000; 24653.253171; 21867.199172
1.000000; 26839.973088; 21850.970017
1.100000; 29025.070090; 20962.666495
1.200000; 31121.336740; 20245.458125
1.300000; 33145.882552; 19684.592193
1.400000; 35114.341771; 18708.602223
1.500000; 36985.201994; 18480.867840
1.600000; 38833.288778; 18456.066161
1.700000; 40678.895394; 17837.415328
1.800000; 42462.636927; 17189.906840
1.900000; 44181.627611; 16482.996124
2.000000; 45829.927223; 15984.504224
2.100000; 47428.377645; 14556.521295
2.200000; 48884.029775; 13539.900510
2.300000; 50238.019826; 12928.184378
2.400000; 51530.838264; 12450.361126
2.500000; 52775.874376; 12485.216952
2.600000; 54024.396071; 12452.894937
2.700000; 55269.685565; 12640.256490
2.800000; 56533.711214; 12952.086527
2.900000; 57828.919867; 13154.311914
3.000000; 59144.351058; 13532.663312
3.100000; 60497.617389; 13664.232317
3.200000; 61864.040621; 13451.097959
3.300000; 63209.150417; 12820.533163
3.400000; 64491.203733; 12123.131273
3.500000; 65703.516861; 11765.610071
3.600000; 66880.077868; 11242.725060
3.700000; 68004.350374; 11028.004070
3.800000; 69107.150781; 11201.647487
3.900000; 70227.315529; 11923.658493
4.000000; 71419.681379; 11942.657882
4.100000; 72613.947167; 0.000000
